"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06-05-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-06-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-07-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-08-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-09-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-10-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-11-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-12-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-13-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-14-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-15-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","17","71.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-16-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-17-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-18-2022","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-19-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-20-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-21-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-22-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-23-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-24-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-25-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-26-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"06-27-2022","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
